OBJECTID,PLAN_NO,BHC_TYPE,BHC_VALUE,SHAPE_Leng,Shape__Area,Shape__Length
1,S/FLN/2,BHCS,7,959.084778628,61031.33203125,1039.99964422577
2,S/FLN/2,BHCS,10,309.592701677,5283.318359375,336.203175523944
3,S/FLN/2,BHCS,5,514.137308267,15156.10546875,558.645434784118
4,S/FLN/2,BHCB,110,412.334611741,10418.087890625,446.92692313001
5,S/FLN/2,BHCS,8,99.1635291304,488.8203125,107.691889076758
6,S/FLN/2,BHCB,15,125.668280379,1110.296875,136.350404457396
7,S/FLN/2,BHCS,8,505.450983848,17388.181640625,547.980561234383
8,S/FLN/2,BHCB,125,456.162506543,12539.46484375,495.445413773438
9,S/FLN/2,BHCB,105,479.099582729,13200.3359375,520.14499183734
10,S/FLN/2,BHCS,5,465.7616887,14196.7109375,505.379433302222
11,S/FLN/2,BHCB,15,131.105867667,1115.5,142.223006797605
12,S/FLN/2,BHCB,25,189.549285508,2539.232421875,205.583513679079
13,S/FLN/2,BHCS,5,240.000841534,4219.806640625,260.465894940054
14,S/FLN/2,BHCB,125,475.35702405,15102.537109375,516.036583839873
15,S/FLN/2,BHCB,105,429.565157584,10541.14453125,466.693092374803
16,S/FLN/2,BHCB,75,442.637391221,11721.580078125,479.921018889946
17,S/FLN/2,BHCB,90,422.542678337,10332.74609375,458.050962203343
18,S/FLN/2,BHCB,75,369.045597786,7636.015625,400.043030462278
19,S/FLN/2,BHCB,90,493.054378174,14252.03515625,534.959741885062
20,S/FLN/2,BHCB,90,387.956459314,9881.974609375,421.10533420669
21,S/FLN/2,BHCB,75,401.880091861,10215.76953125,436.477517305512
22,S/FLN/2,BHCB,75,415.93806423,10325.8671875,451.119755744927
23,S/FLN/2,BHCB,15,128.217952399,1171.4921875,139.244562339606
24,S/FLN/2,BHCB,110,393.378639464,11913.203125,426.861879853626
25,S/FLN/2,BHCB,15,87.3357271716,572.884765625,94.7576313962663
26,S/FLN/2,BHCB,110,608.894593262,19083.509765625,660.381965648248
27,S/FLN/2,BHCB,105,492.270831684,17970.064453125,533.874355523607
28,S/FLN/2,BHCB,120,437.933382875,14158.4296875,475.070152488581
29,S/FLN/2,BHCB,120,437.983834856,13573.587890625,475.190574039553
30,S/FLN/2,BHCB,120,445.183613188,14091.181640625,483.3001099119
31,S/FLN/2,BHCS,8,632.983586242,19473.421875,686.920600250141
32,S/FLN/2,BHCS,10,349.995597875,7893.6328125,379.886277187409
33,S/FLN/2,BHCB,110,309.141542103,6635.1484375,335.535621244375
34,S/FLN/2,BHCB,20,445.530095307,6640.12109375,483.504126988827
35,S/FLN/2,BHCS,8,503.998576361,16503.904296875,546.408036620916
36,S/FLN/2,BHCB,75,678.631910648,21858.83984375,736.232288662919
37,S/FLN/2,BHCB,90,425.206386673,11708.70703125,461.678399191738
