OBJECTID,PLAN_NO,ZONE_LABEL,DESC_ENG,DESC_CHT,SPUSE_ENG,SPUSE_CHT,SHAPE_Leng,Shape__Area,Shape__Area_2,Shape__Length_2
1,S/FLN/2,RICH,River Channel,河道, , ,882.903221878,14916.03515625,14916.03515625,958.692299334045
2,S/FLN/2,R(B),Residential (Group B),住宅(乙類), , ,652.483907572,22353.150390625,22353.150390625,707.11261783627
3,S/FLN/2,R(B),Residential (Group B),住宅(乙類), , ,727.920067958,26126.87890625,26126.87890625,789.461917628178
4,S/FLN/2,R(A)4,Residential (Group A) 4,住宅(甲類)4, , ,464.415200053,14472.52734375,14472.52734375,504.139349441228
5,S/FLN/2,OU,Other Specified Uses,其他指定用途,COMMERCIAL/RESIDENTIAL DEVELOPMENT WITH PUBLIC TRANSPORT INTERCHANGE (1),商業╱住宅發展暨公共交通交匯處（１）,1238.26640565,53475.623046875,53475.623046875,1344.30813408006
6,S/FLN/2,RICH,River Channel,河道, , ,1630.78525447,63008.927734375,63008.927734375,1767.26678855934
7,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,514.471514953,4782.046875,4782.046875,557.488587976171
8,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,820.536838215,6281.701171875,6281.701171875,888.134707776414
9,S/FLN/2,O,Open Space,休憩用地, , ,3710.27007755,62892.36328125,62892.36328125,4025.64764551135
10,S/FLN/2,G/IC,"Government, Institution or Community",政府、機構或社區, , ,349.995597875,7893.6328125,7893.6328125,379.886277187409
11,S/FLN/2,G/IC,"Government, Institution or Community",政府、機構或社區, , ,448.069881965,7105.36328125,7105.36328125,486.161350824829
12,S/FLN/2,G/IC,"Government, Institution or Community",政府、機構或社區, , ,505.450983848,17388.181640625,17388.181640625,547.980561234383
13,S/FLN/2,G/IC,"Government, Institution or Community",政府、機構或社區, , ,465.761688699,14196.708984375,14196.708984375,505.379433301696
14,S/FLN/2,OU,Other Specified Uses,其他指定用途,SEWAGE PUMPING STATION,污水抽水站,125.668280379,1110.296875,1110.296875,136.350404457396
15,S/FLN/2,R(A)1,Residential (Group A) 1,住宅(甲類)1, , ,438.127555012,14544.490234375,14544.490234375,475.217839775883
16,S/FLN/2,RICH,River Channel,河道, , ,1506.22122644,54776.9453125,54776.9453125,1630.93181061705
17,S/FLN/2,O,Open Space,休憩用地, , ,255.637627761,1390.001953125,1390.001953125,277.608211578759
18,S/FLN/2,R(C),Residential (Group C),住宅(丙類), , ,483.900148199,14637.10546875,14637.10546875,524.74702808333
19,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,656.90295691,1626.42578125,1626.42578125,713.947095945757
20,S/FLN/2,OU,Other Specified Uses,其他指定用途,SEWAGE PUMPING STATION,污水抽水站,128.217952522,1171.490234375,1171.490234375,139.244562384344
21,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,123.659701582,586.85546875,586.85546875,134.072759957464
22,S/FLN/2,G/IC,"Government, Institution or Community",政府、機構或社區, , ,591.607704062,17349.974609375,17349.974609375,642.166925197584
23,S/FLN/2,G/IC,"Government, Institution or Community",政府、機構或社區, , ,260.156038936,4634.634765625,4634.634765625,282.200499415788
24,S/FLN/2,AGR,Agriculture,農業, , ,2164.87500085,147195.482421875,147195.482421875,2348.43049374989
25,S/FLN/2,R(B),Residential (Group B),住宅(乙類), , ,655.410407777,20097.708984375,20097.708984375,711.888971943281
26,S/FLN/2,R(B),Residential (Group B),住宅(乙類), , ,415.93806423,10325.8671875,10325.8671875,451.119755744927
27,S/FLN/2,G/IC,"Government, Institution or Community",政府、機構或社區, , ,541.000496862,17661.998046875,17661.998046875,586.682723285598
28,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,261.408874519,2267.10546875,2267.10546875,283.202931908598
29,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,321.783420716,2679.107421875,2679.107421875,348.44898067586
30,S/FLN/2,G/IC,"Government, Institution or Community",政府、機構或社區, , ,632.983586242,19473.421875,19473.421875,686.920600250141
31,S/FLN/2,O,Open Space,休憩用地, , ,1656.04055516,36838.1015625,36838.1015625,1798.36237393847
32,S/FLN/2,RICH,River Channel,河道, , ,1493.36361868,58339.009765625,58339.009765625,1623.06473499993
33,S/FLN/2,OU,Other Specified Uses,其他指定用途,SEWAGE PUMPING STATION,污水抽水站,87.3357271716,572.884765625,572.884765625,94.7576313962663
34,S/FLN/2,G/IC,"Government, Institution or Community",政府、機構或社區, , ,317.551579303,6759.0390625,6759.0390625,344.838470661624
35,S/FLN/2,OU,Other Specified Uses,其他指定用途,SEWAGE TREATMENT WORKS,污水處理廠,1369.45983075,42102.62890625,42102.62890625,1485.92269833133
36,S/FLN/2,O,Open Space,休憩用地, , ,877.523208294,6554.52734375,6554.52734375,951.162687587246
37,S/FLN/2,RICH,River Channel,河道, , ,3104.98640383,102443.283203125,102443.283203125,3367.64541251459
38,S/FLN/2,O,Open Space,休憩用地, , ,951.463677728,10831.576171875,10831.576171875,1032.2405349144
39,S/FLN/2,GB,Green Belt,綠化地帶, , ,985.595244148,20225.27734375,20225.27734375,1070.11408165631
40,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,709.124956318,8837.26171875,8837.26171875,767.836949066073
41,S/FLN/2,R(B),Residential (Group B),住宅(乙類), , ,540.686650116,22054.326171875,22054.326171875,586.607082263734
42,S/FLN/2,R(B),Residential (Group B),住宅(乙類), , ,602.861754118,21888.05078125,21888.05078125,653.765244564445
43,S/FLN/2,RICH,River Channel,河道, , ,1345.92338442,23068.365234375,23068.365234375,1461.62094970462
44,S/FLN/2,MRDJ,Major Road and Junction,主要道路及路口, , ,28748.8558683,334277.65234375,334277.65234375,31183.663191248
45,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,820.200545462,7596.26171875,7596.26171875,891.605382875091
46,S/FLN/2,O,Open Space,休憩用地, , ,917.529366125,7622.681640625,7622.681640625,994.697793773376
47,S/FLN/2,R(A)1,Residential (Group A) 1,住宅(甲類)1, , ,465.783734308,13642.9453125,13642.9453125,504.983676582119
48,S/FLN/2,R(A)1,Residential (Group A) 1,住宅(甲類)1, , ,431.566833866,14683.162109375,14683.162109375,468.304969439558
49,S/FLN/2,R(A)1,Residential (Group A) 1,住宅(甲類)1, , ,390.922580167,10910.56640625,10910.56640625,424.076510312856
50,S/FLN/2,G/IC,"Government, Institution or Community",政府、機構或社區, , ,309.592701677,5283.318359375,5283.318359375,336.203175523944
51,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,422.02992635,9978.337890625,9978.337890625,458.191948807554
52,S/FLN/2,O,Open Space,休憩用地, , ,1765.18813762,59298.36328125,59298.36328125,1913.73868760651
53,S/FLN/2,OU,Other Specified Uses,其他指定用途,COMMERCIAL/RESIDENTIAL DEVELOPMENT WITH PUBLIC TRANSPORT INTERCHANGE (2),商業╱住宅發展暨公共交通交匯處（２）,407.653453494,11648.330078125,11648.330078125,442.360859862402
54,S/FLN/2,O,Open Space,休憩用地, , ,1767.47546313,26488.78515625,26488.78515625,1920.0397373233
55,S/FLN/2,O,Open Space,休憩用地, , ,245.011076619,3347.728515625,3347.728515625,266.204649931634
56,S/FLN/2,R(A)1,Residential (Group A) 1,住宅(甲類)1, , ,492.270831684,17970.064453125,17970.064453125,533.874355523607
57,S/FLN/2,R(A)1,Residential (Group A) 1,住宅(甲類)1, , ,498.621735836,16989.451171875,16989.451171875,540.820992363679
58,S/FLN/2,R(A)3,Residential (Group A) 3,住宅(甲類)3, , ,790.512725262,27928.1171875,27928.1171875,857.080811442344
59,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,121.748603627,394.16015625,394.16015625,132.137003883694
60,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,283.630507143,1434.27734375,1434.27734375,307.398300586044
61,S/FLN/2,R(A)2,Residential (Group A) 2,住宅(甲類)2, , ,456.320920245,15286.072265625,15286.072265625,494.975343749565
62,S/FLN/2,R(A)2,Residential (Group A) 2,住宅(甲類)2, , ,457.698058031,14566.75390625,14566.75390625,496.558589394906
63,S/FLN/2,R(A)2,Residential (Group A) 2,住宅(甲類)2, , ,445.183613188,14091.181640625,14091.181640625,483.3001099119
64,S/FLN/2,RICH,River Channel,河道, , ,800.783362077,28814.30078125,28814.30078125,868.025561557898
65,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,615.403261643,3896.65625,3896.65625,667.032138587518
66,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,299.639034123,1487.740234375,1487.740234375,324.4461770251
67,S/FLN/2,OU,Other Specified Uses,其他指定用途,PARKING AND OPERATION FACILITIES FOR ENVIRONMENTALLY FRIENDLY TRANSPORT SYSTEM,環保交通系統停泊 及營運設施,685.704350457,26063.16796875,26063.16796875,744.386837454869
68,S/FLN/2,CA,Conservation Area,自然保育區, , ,377.091966024,11417.880859375,11417.880859375,409.408900808954
69,S/FLN/2,OU,Other Specified Uses,其他指定用途,SEWAGE PUMPING STATION,污水抽水站,131.105867667,1115.5,1115.5,142.223006797605
70,S/FLN/2,G/IC,"Government, Institution or Community",政府、機構或社區, , ,445.530095307,6640.12109375,6640.12109375,483.504126988827
71,S/FLN/2,G/IC,"Government, Institution or Community",政府、機構或社區, , ,959.084778628,61031.33203125,61031.33203125,1039.99964422577
72,S/FLN/2,G/IC,"Government, Institution or Community",政府、機構或社區, , ,879.127985727,39225.83203125,39225.83203125,952.10726366162
73,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,114.882236021,599.66796875,599.66796875,124.883106332601
74,S/FLN/2,CA,Conservation Area,自然保育區, , ,467.286825086,14772.720703125,14772.720703125,507.136859282725
75,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,580.476752797,2754.974609375,2754.974609375,631.129583340396
76,S/FLN/2,GB,Green Belt,綠化地帶, , ,430.408373831,8499.66796875,8499.66796875,466.357994993632
77,S/FLN/2,O,Open Space,休憩用地, , ,260.426576376,3581.640625,3581.640625,282.536526302147
78,S/FLN/2,G/IC,"Government, Institution or Community",政府、機構或社區, , ,514.132746667,15156.08203125,15156.08203125,558.640419330831
79,S/FLN/2,R(B),Residential (Group B),住宅(乙類), , ,576.526788029,19360.09765625,19360.09765625,624.864003460104
80,S/FLN/2,OU(A),Other Specified Uses (Amenity Area),其他指定用途（美化市容地帶), , ,413.347882358,3215.892578125,3215.892578125,447.455660785073
81,S/FLN/2,V,Village Type Development,鄉村式發展, , ,226.94045375,2809.091796875,2809.091796875,246.009572265552
82,S/FLN/2,O,Open Space,休憩用地, , ,1254.48413341,74176.54296875,74176.54296875,1360.62233125023
83,S/FSS/23,G/IC,"Government, Institution or Community",政府、機構或社區, , ,308.977806454,6961.85546875,6961.85546875,335.033355181916
84,S/FSS/23,GB,Green Belt,綠化地帶, , ,815.673498903,25164.103515625,25164.103515625,885.030473458059
85,S/FSS/23,O,Open Space,休憩用地, , ,696.190285136,20202.15234375,20202.15234375,755.672392421175
86,S/FSS/23,R(A),Residential (Group A),住宅(甲類), , ,1221.61519545,67226.314453125,67226.314453125,1325.33029875764
87,S/FSS/23,G/IC,"Government, Institution or Community",政府、機構或社區, , ,305.614032216,6456.96875,6456.96875,331.632788315461
88,S/FSS/23,O,Open Space,休憩用地, , ,432.538808016,7961.181640625,7961.181640625,469.024461627765
89,S/FSS/23,G/IC,"Government, Institution or Community",政府、機構或社區, , ,143.381253589,1265.1328125,1265.1328125,155.744903818533
90,S/FSS/23,G/IC,"Government, Institution or Community",政府、機構或社區, , ,188.46406307,2548.791015625,2548.791015625,204.430432855223
91,S/FSS/23,O,Open Space,休憩用地, , ,728.26338115,19701.765625,19701.765625,789.959963816453
92,S/FSS/23,G/IC,"Government, Institution or Community",政府、機構或社區, , ,669.682370419,33004.8359375,33004.8359375,726.776402411246
93,S/FSS/23,R(C)1,Residential (Group C) 1,住宅(丙類)1, , ,287.066883429,5097.92578125,5097.92578125,311.54972162065
94,S/FSS/23,C/R(1),Commercial / Residential (1),商業 / 住宅(1), , ,477.685411888,14738.8359375,14738.8359375,518.323165632757
95,S/FSS/23,G/IC,"Government, Institution or Community",政府、機構或社區, , ,239.052245048,3974.515625,3974.515625,259.363710506354
96,S/FSS/23,G/IC,"Government, Institution or Community",政府、機構或社區, , ,516.522922526,19350.806640625,19350.806640625,560.348774944819
